credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec
1,debt_consolidation,0.1324,540.96,10.59663473,11.73,672,3210.0,5671,55.1,0,0,0
0,educational,0.1221,333.15,11.15619338,15.82,707,5314.0,107643,81.0,3,0,0
1,debt_consolidation,0.1218,166.5,10.7538359,6.38,772,1440.0,233,6.7,0,0,0
0,major_purchase,0.1461,124.12,10.23995979,0.0,692,1530.041667,0,0.0,6,0,0
1,credit_card,0.08,156.69,10.4341158,15.85,767,10170.0,5748,12.3,0,1,0
1,all_other,0.0932,159.74,10.37349118,1.13,752,3780.041667,833,8.2,2,0,0
1,all_other,0.0963,282.43,11.09358453,4.89,757,4620.0,6055,31.9,0,0,0
1,all_other,0.1505,138.77,9.998797732,19.75,667,2341.958333,555,3.9,2,1,0
1,debt_consolidation,0.1379,408.91,10.79949394,18.64,682,4350.0,46817,92.3,1,0,1
1,all_other,0.0894,540.12,11.69524702,2.19,777,4020.0,63646,9.8,1,0,0
1,credit_card,0.1253,381.52,10.81977828,14.5,722,4680.041667,8775,48.0,0,0,0
1,small_business,0.1565,69.98,10.45737267,20.41,702,2549.958333,239,9.2,0,0,0
1,credit_card,0.1379,224.9,10.57131693,23.19,667,2279.958333,8799,55.1,0,0,0
0,major_purchase,0.1253,267.73,10.81977828,21.29,697,3060.041667,34938,59.6,4,1,0
1,all_other,0.1287,470.87,10.42228135,22.29,767,4928.041667,12039,88.0,4,0,0
1,debt_consolidation,0.1347,576.69,10.67533038,13.03,697,4595.958333,17088,73.7,2,0,0
1,major_purchase,0.0768,99.81,11.0303147,12.29,762,10709.95833,7232,3.6,2,0,0
1,credit_card,0.1253,93.71,10.77895629,23.23,682,4770.0,30423,66.3,1,0,1
1,debt_consolidation,0.1565,237.91,10.858999,22.71,662,1620.041667,8159,55.4,2,0,0
1,home_improvement,0.0774,234.14,10.34817337,3.08,797,6089.958333,1147,8.8,1,0,0
0,debt_consolidation,0.1387,341.15,10.75577295,19.73,662,11940.0,61882,60.6,0,0,0
1,all_other,0.1316,675.41,11.23848862,16.56,712,3245.041667,21118,65.2,0,0,0
1,debt_consolidation,0.1347,244.25,11.39075783,12.83,687,3510.0,28767,74.9,1,0,0
1,credit_card,0.0676,193.85,11.65268741,6.25,777,5160.0,12345,17.4,1,0,0
1,credit_card,0.1025,485.78,11.184421400000002,23.85,737,3810.041667,27801,49.4,0,0,0
1,debt_consolidation,0.1426,411.67,10.16585182,10.85,682,1620.041667,9106,52.6,0,0,0
1,all_other,0.0963,307.31,10.95073637,10.72,717,1440.0,8305,26.9,0,0,0
0,all_other,0.1379,340.76,11.13453063,13.82,707,14550.0,56903,54.2,5,1,0
1,debt_consolidation,0.1261,301.56,10.81977828,7.15,667,2579.0,1918,56.4,0,0,0
1,debt_consolidation,0.0894,476.58,11.56171563,12.53,777,10800.04167,8118,5.9,0,0,0
